Id|Name|Definition|Description
0136b3e8-7c14-11ea-bc55-0242ac130013|Siaya|SiteCode IN (SELECT SiteCode FROM Facilities WHERE County='Siaya')|Siaya county data
0136b3e8-7c14-11ea-bc55-0242ac130023|Nyanza|SiteCode IN (SELECT SiteCode FROM Facilities WHERE Province='Nyanza')|Nyanza province data
